Indicator,Countryname,Year,Zone,Area En,Area Sp,Countrycode,Countryname Sp,Date,Indicator Sp,Series,Upi,Circa,count,Country,Number of Records,Rate
Gini coefficient,Argentina (urban),2003,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini,1,WB569452,9999,1,32,1,0.512018606
Rate 90/10,Argentina (urban),2003,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 90/10,1,WB569452,9999,1,32,1,12.525377146
Rate 75/25,Argentina (urban),2003,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 75/25,1,WB569452,9999,1,32,1,3.873175738
"Generalized entropy, GE(-1)",Argentina (urban),2003,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,32,1,0.940589442
"Mean log deviation, GE(0)",Argentina (urban),2003,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,32,1,0.491367389
"Theil index, GE(1)",Argentina (urban),2003,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,32,1,0.526350895
"Generalized entropy, GE(2)",Argentina (urban),2003,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,32,1,2.891157744
"Atkinson, A(0.5)",Argentina (urban),2003,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,32,1,0.218343522
"Atkinson, A(1)",Argentina (urban),2003,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,32,1,0.388210732
"Atkinson, A(2)",Argentina (urban),2003,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,32,1,0.652919850
Gini coefficient (no zero income),Argentina (urban),2003,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,32,1,0.510077358
Gini coefficient,Argentina (urban),2004,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini,1,WB569452,9999,1,32,1,0.485911130
Rate 90/10,Argentina (urban),2004,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 90/10,1,WB569452,9999,1,32,1,11.681638915
Rate 75/25,Argentina (urban),2004,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 75/25,1,WB569452,9999,1,32,1,3.641326790
"Generalized entropy, GE(-1)",Argentina (urban),2004,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,32,1,0.785105860
"Mean log deviation, GE(0)",Argentina (urban),2004,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,32,1,0.439179339
"Theil index, GE(1)",Argentina (urban),2004,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,32,1,0.423744649
"Generalized entropy, GE(2)",Argentina (urban),2004,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,32,1,0.697645051
"Atkinson, A(0.5)",Argentina (urban),2004,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,32,1,0.192996381
"Atkinson, A(1)",Argentina (urban),2004,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,32,1,0.355434826
"Atkinson, A(2)",Argentina (urban),2004,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,32,1,0.610926994
Gini coefficient (no zero income),Argentina (urban),2004,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,32,1,0.484545908
Gini coefficient,Argentina (urban),2005,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini,1,WB569452,9999,1,32,1,0.479525326
Rate 90/10,Argentina (urban),2005,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 90/10,1,WB569452,9999,1,32,1,11.069351825
Rate 75/25,Argentina (urban),2005,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 75/25,1,WB569452,9999,1,32,1,3.525325416
"Generalized entropy, GE(-1)",Argentina (urban),2005,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,32,1,0.742729146
"Mean log deviation, GE(0)",Argentina (urban),2005,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,32,1,0.425651231
"Theil index, GE(1)",Argentina (urban),2005,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,32,1,0.419726459
"Generalized entropy, GE(2)",Argentina (urban),2005,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,32,1,0.763668775
"Atkinson, A(0.5)",Argentina (urban),2005,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,32,1,0.188871281
"Atkinson, A(1)",Argentina (urban),2005,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,32,1,0.346655831
"Atkinson, A(2)",Argentina (urban),2005,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,32,1,0.597659714
